Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,167,167,167,167
13.500000,0.03615,-0.00124,0.68379,0
13.600000,0.03615,-0.00124,0.68379,0
13.700000,0.03615,-0.00124,0.68379,0
13.800000,0.03615,-0.00124,0.68379,0
13.900000,0.05077,-0.00105,0.68387,0
14.000000,0.03640,-0.01416,0.68366,0
14.100000,0.03640,-0.01416,0.68366,0
14.200000,0.05077,-0.00105,0.68387,0
14.300000,0.03615,-0.00124,0.68379,0
14.400000,0.03640,-0.01416,0.68366,0
14.500000,0.03583,-0.00117,0.65272,0
14.600000,0.03640,-0.01416,0.68366,0
14.700000,0.05077,-0.00105,0.68387,0
14.800000,0.03615,-0.00124,0.68379,0
14.900000,0.03615,-0.00124,0.68379,0
15.000000,0.03615,-0.00124,0.68379,0
15.100000,0.03583,-0.00117,0.65272,0
15.200000,0.03615,-0.00124,0.68379,0
15.300000,0.03615,-0.00124,0.68379,0
15.400000,0.03615,-0.00124,0.68379,0
15.500000,0.05052,0.01187,0.68400,0
15.600000,0.02178,-0.01435,0.68359,0
15.700000,0.03583,-0.00117,0.65272,0
15.800000,0.03609,-0.01409,0.65259,0
15.900000,0.05014,-0.00091,0.62172,0
16.000000,0.05045,-0.00098,0.65280,0
16.100000,0.03615,-0.00124,0.68379,0
16.200000,0.03558,0.01175,0.65285,0
16.300000,0.03615,-0.00124,0.68379,0
16.400000,0.05045,-0.00098,0.65280,0
16.500000,0.03640,-0.01416,0.68366,0
16.600000,0.03583,-0.00117,0.65272,0
