Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,101,101,101,101
maximum value,0.04324,-0.11878,1.11738,1
minimum value,-0.00163,-0.14488,1.02414,0
0.000000,0.04324,-0.14439,1.11738,0
0.100000,0.02803,-0.14443,1.05516,0
0.200000,0.02809,-0.13159,1.08637,0
0.300000,0.04236,-0.13132,1.05537,0
0.400000,0.01345,-0.14462,1.05508,0
0.500000,0.02778,-0.13151,1.05529,0
0.600000,0.02809,-0.13159,1.08637,0
0.700000,0.01351,-0.13177,1.08629,0
0.800000,0.01351,-0.13177,1.08629,0
0.900000,0.01351,-0.13177,1.08629,1
1.000000,0.01326,-0.11885,1.08642,1
1.100000,0.02803,-0.14443,1.05516,1
1.200000,0.01345,-0.14462,1.05508,1
1.300000,0.01376,-0.14469,1.08616,1
1.400000,0.02803,-0.14443,1.05516,1
1.500000,0.01376,-0.14469,1.08616,1
1.600000,0.01376,-0.14469,1.08616,1
1.700000,0.01345,-0.14462,1.05508,1
1.800000,0.01376,-0.14469,1.08616,1
1.900000,0.01351,-0.13177,1.08629,1
2.000000,0.02834,-0.14450,1.08623,1
2.100000,0.01345,-0.14462,1.05508,1
2.200000,0.01320,-0.13170,1.05521,1
2.300000,0.01320,-0.13170,1.05521,1
2.400000,0.01320,-0.13170,1.05521,1
2.500000,0.02866,-0.14458,1.11731,1
2.600000,0.01351,-0.13177,1.08629,1
2.700000,0.01351,-0.13177,1.08629,1
2.800000,0.01351,-0.13177,1.08629,1
2.900000,0.01326,-0.11885,1.08642,1
3.000000,0.01351,-0.13177,1.08629,1
3.100000,0.02778,-0.13151,1.05529,1
3.200000,0.01351,-0.13177,1.08629,1
3.300000,0.01320,-0.13170,1.05521,1
3.400000,0.02778,-0.13151,1.05529,1
3.500000,0.01376,-0.14469,1.08616,1
3.600000,0.02809,-0.13159,1.08637,1
3.700000,0.01326,-0.11885,1.08642,1
3.800000,0.01351,-0.13177,1.08629,1
3.900000,0.01351,-0.13177,1.08629,1
4.000000,0.01345,-0.14462,1.05508,1
4.100000,0.02809,-0.13159,1.08637,1
4.200000,0.01351,-0.13177,1.08629,1
4.300000,0.01320,-0.13170,1.05521,1
4.400000,-0.00107,-0.13196,1.08621,1
4.500000,0.01351,-0.13177,1.08629,1
4.600000,-0.00113,-0.14481,1.05501,1
4.700000,0.01351,-0.13177,1.08629,1
4.800000,0.01326,-0.11885,1.08642,1
4.900000,0.01351,-0.13177,1.08629,1
5.000000,-0.00132,-0.11904,1.08634,1
5.100000,0.01288,-0.13163,1.02414,1
5.200000,0.01376,-0.14469,1.08616,1
5.300000,0.01320,-0.13170,1.05521,1
5.400000,0.01351,-0.13177,1.08629,1
5.500000,0.01320,-0.13170,1.05521,1
5.600000,0.01326,-0.11885,1.08642,1
5.700000,-0.00138,-0.13189,1.05514,1
5.800000,-0.00107,-0.13196,1.08621,1
5.900000,-0.00138,-0.13189,1.05514,1
6.000000,0.01351,-0.13177,1.08629,1
6.100000,-0.00138,-0.13189,1.05514,1
6.200000,-0.00113,-0.14481,1.05501,1
6.300000,-0.00082,-0.14488,1.08608,1
6.400000,-0.00113,-0.14481,1.05501,1
6.500000,-0.00113,-0.14481,1.05501,1
6.600000,-0.00107,-0.13196,1.08621,1
6.700000,0.01320,-0.13170,1.05521,1
6.800000,0.01351,-0.13177,1.08629,1
6.900000,-0.00138,-0.13189,1.05514,1
7.000000,0.01351,-0.13177,1.08629,1
7.100000,-0.00138,-0.13189,1.05514,1
7.200000,0.02809,-0.13159,1.08637,1
7.300000,0.01326,-0.11885,1.08642,1
7.400000,0.01326,-0.11885,1.08642,1
7.500000,-0.00132,-0.11904,1.08634,1
7.600000,0.02834,-0.14450,1.08623,1
7.700000,0.01351,-0.13177,1.08629,1
7.800000,0.02834,-0.14450,1.08623,1
7.900000,0.01351,-0.13177,1.08629,1
8.000000,0.01320,-0.13170,1.05521,1
8.100000,0.02809,-0.13159,1.08637,1
8.200000,0.01326,-0.11885,1.08642,1
8.300000,0.01288,-0.13163,1.02414,1
8.400000,-0.00138,-0.13189,1.05514,1
8.500000,0.01345,-0.14462,1.05508,1
8.600000,-0.00163,-0.11897,1.05527,1
8.700000,-0.00138,-0.13189,1.05514,1
8.800000,0.01320,-0.13170,1.05521,1
8.900000,0.01295,-0.11878,1.05535,1
9.000000,0.01351,-0.13177,1.08629,1
9.100000,0.01320,-0.13170,1.05521,1
9.200000,0.02809,-0.13159,1.08637,1
9.300000,0.01351,-0.13177,1.08629,1
9.400000,0.01351,-0.13177,1.08629,1
9.500000,0.01376,-0.14469,1.08616,1
9.600000,0.01351,-0.13177,1.08629,1
9.700000,0.01351,-0.13177,1.08629,1
9.800000,0.01351,-0.13177,1.08629,1
9.900000,0.01326,-0.11885,1.08642,1
10.000000,-0.00107,-0.13196,1.08621,1
