Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,200,200,200,200
maximum value,-0.01378,0.02513,0.12395,0
minimum value,-0.07172,-0.02699,0.03074,0
0.000000,-0.05694,-0.00097,0.09283,0
0.100000,-0.05662,-0.00104,0.12387,0
0.200000,-0.05669,-0.01389,0.09270,0
0.300000,-0.05637,-0.01396,0.12374,0
0.400000,-0.05694,-0.00097,0.09283,0
0.500000,-0.05725,-0.00089,0.06179,0
0.600000,-0.05694,-0.00097,0.09283,0
0.700000,-0.05662,-0.00104,0.12387,0
0.800000,-0.07172,-0.00108,0.06171,0
0.900000,-0.05694,-0.00097,0.09283,0
1.000000,-0.05694,-0.00097,0.09283,0
1.100000,-0.05669,-0.01389,0.09270,0
1.200000,-0.05694,-0.00097,0.09283,0
1.300000,-0.05757,-0.00082,0.03074,0
1.400000,-0.05700,-0.01381,0.06165,0
1.500000,-0.04253,-0.01363,0.06173,0
1.600000,-0.05643,-0.02681,0.09257,0
1.700000,-0.05669,-0.01389,0.09270,0
1.800000,-0.07116,-0.01407,0.09262,0
1.900000,-0.05725,-0.00089,0.06179,0
2.000000,-0.07090,-0.02699,0.09249,0
2.100000,-0.05669,-0.01389,0.09270,0
2.200000,-0.05694,-0.00097,0.09283,0
2.300000,-0.07116,-0.01407,0.09262,0
2.400000,-0.05669,-0.01389,0.09270,0
2.500000,-0.05694,-0.00097,0.09283,0
2.600000,-0.04222,-0.01370,0.09277,0
2.700000,-0.05694,-0.00097,0.09283,0
2.800000,-0.04253,-0.01363,0.06173,0
2.900000,-0.07172,-0.00108,0.06171,0
3.000000,-0.05694,-0.00097,0.09283,0
3.100000,-0.05700,-0.01381,0.06165,0
3.200000,-0.05725,-0.00089,0.06179,0
3.300000,-0.04247,-0.00078,0.09291,0
3.400000,-0.04247,-0.00078,0.09291,0
3.500000,-0.07116,-0.01407,0.09262,0
3.600000,-0.05637,-0.01396,0.12374,0
3.700000,-0.05669,-0.01389,0.09270,0
3.800000,-0.05669,-0.01389,0.09270,0
3.900000,-0.05669,-0.01389,0.09270,0
4.000000,-0.04222,-0.01370,0.09277,0
4.100000,-0.05669,-0.01389,0.09270,0
4.200000,-0.05669,-0.01389,0.09270,0
4.300000,-0.05694,-0.00097,0.09283,0
4.400000,-0.05669,-0.01389,0.09270,0
4.500000,-0.04222,-0.01370,0.09277,0
