Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,450,450,450,450
maximum value,0.00741,0.01130,0.71456,1
minimum value,-0.05173,-0.02802,0.59006,0
0.000000,-0.02231,-0.01484,0.65228,0
0.100000,-0.02257,-0.00192,0.65241,0
0.200000,-0.02231,-0.01484,0.65228,0
0.300000,-0.03689,-0.01503,0.65221,0
0.400000,-0.02231,-0.01484,0.65228,0
0.500000,-0.02282,0.01100,0.65255,0
0.600000,-0.02257,-0.00192,0.65241,0
0.700000,-0.02231,-0.01484,0.65228,0
0.800000,-0.02288,-0.00185,0.62134,0
0.900000,-0.02288,-0.00185,0.62134,0
1.000000,-0.02231,-0.01484,0.65228,0
1.100000,-0.02288,-0.00185,0.62134,0
1.200000,-0.02231,-0.01484,0.65228,0
1.300000,-0.02231,-0.01484,0.65228,0
1.400000,-0.05147,-0.01522,0.65213,0
1.500000,-0.02257,-0.00192,0.65241,0
1.600000,-0.02288,-0.00185,0.62134,0
1.700000,-0.00799,-0.00173,0.65249,0
1.800000,-0.02257,-0.00192,0.65241,0
1.900000,-0.02288,-0.00185,0.62134,0
2.000000,-0.02231,-0.01484,0.65228,0
2.100000,-0.02257,-0.00192,0.65241,0
2.200000,-0.02257,-0.00192,0.65241,0
2.300000,-0.02263,-0.01477,0.62121,0
2.400000,-0.02238,-0.02769,0.62107,0
2.500000,-0.02288,-0.00185,0.62134,0
2.600000,-0.00773,-0.01465,0.65236,0
2.700000,-0.02263,-0.01477,0.62121,0
2.800000,-0.03689,-0.01503,0.65221,0
2.900000,-0.02231,-0.01484,0.65228,0
3.000000,-0.03752,-0.01488,0.59006,0
3.100000,-0.03746,-0.00204,0.62126,0
3.200000,-0.03715,-0.00211,0.65234,0
3.300000,-0.05173,-0.00230,0.65226,0
3.400000,-0.03689,-0.01503,0.65221,0
3.500000,-0.03658,-0.01510,0.68328,0
3.600000,-0.03689,-0.01503,0.65221,0
3.700000,-0.03721,-0.01496,0.62113,0
3.800000,-0.02257,-0.00192,0.65241,0
3.900000,-0.02288,-0.00185,0.62134,0
4.000000,-0.02257,-0.00192,0.65241,0
4.100000,-0.02257,-0.00192,0.65241,0
4.200000,-0.03689,-0.01503,0.65221,0
4.300000,-0.03664,-0.02795,0.65207,0
4.400000,-0.03721,-0.01496,0.62113,0
4.500000,-0.02263,-0.01477,0.62121,0
